Gene_id,Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides 1,Peptides 2,Razor + unique peptides 1,Razor + unique peptides 2,Unique peptides 1,Unique peptides 2,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Fraction 2,Fraction 11,Fraction 12,Q-value,Score,Identification type 1,Identification type 2,Sequence coverage 1 [%],Sequence coverage 2 [%],Intensity,Intensity 1,Intensity 2,iBAQ,iBAQ 1,iBAQ 2,LFQ intensity 1,LFQ intensity 2,MS/MS count 1,MS/MS count 2,MS/MS count,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,DSSTP_K site IDs,Oxidation (M) site IDs,DSSTP_K site positions,Oxidation (M) site positions,Gene_desc,fc1,fc2,fc3,log10_score,log10_intensity,log10_iBAQ,pvalues,mean,log_mean,log_pvalues
Tb927.7.4810,Tb927.7.4810:mRNA-p1;Tb11.v5.0163.1-p1,Tb927.7.4810:mRNA-p1;Tb11.v5.0163.1-p1,1;1,1;1,1;1,"Tb927.7.4810:mRNA-p1 | transcript=Tb927.7.4810:mRNA | gene=Tb927.7.4810 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=HD domain containing protein, putative | transcript_product=HD domain containing protein, putative | location=Tb927_07_v5.1:",2,1,1,1,1,0,1,0,1,0,2.2,2.2,2.2,52.176,458,458;458,2.0,,1.0,,,0.0048465,0.8464299999999999,By MS/MS,,2.2,0.0,334450,511770,191160,13378.0,15644.1,1257.6,536360,38766,1,0,1,,,,54,5,True,5,12,15,15,,,,,"HD domain containing protein, putative",14.327474284866517,17.570884890384047,5.702472191659229,-0.07240895234626661,5.524331200288652,4.126391191616615,0.00013788652745036877,16.489748021878203,4.043497448158544,3.623630153253378
Tb927.7.4900,Tb927.7.4900:mRNA-p1;Tb11.v5.0171.1-p1,Tb927.7.4900:mRNA-p1;Tb11.v5.0171.1-p1,3;3,3;3,3;3,Tb927.7.4900:mRNA-p1 | transcript=Tb927.7.4900:mRNA | gene=Tb927.7.4900 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=5-3 exoribonuclease A | transcript_product=5-3 exoribonuclease A | location=Tb927_07_v5.1:1288490-1292746(-) | protein_l,2,3,3,3,0,3,0,3,0,3,2.5,2.5,2.5,158.67,1418,1418;1418,11.0,,,3.0,,0.0018692000000000001,1.3206,,By MS/MS,0.0,2.5,2021100,177320,2212260,29291.0,2266.1,30548.6,201910,448616,0,3,3,,,,55,653;997;1103,True;True;True,682;1044;1154,1265;1903;2084,1300;1934;2100,1300;1934;2100,,,,,5'-3' exoribonuclease A,0.12702996831965785,0.17735162638762114,0.2304661618449874,0.1207712929369916,6.305587802072341,4.466734198826303,9.54132848825097e-07,0.16057774036496672,-2.63865617769103,3.9958758972582356
Tb927.7.4910,Tb927.7.4910:mRNA-p1;Tb11.v5.0172.1-p1,Tb927.7.4910:mRNA-p1;Tb11.v5.0172.1-p1,1;1,1;1,1;1,"Tb927.7.4910:mRNA-p1 | transcript=Tb927.7.4910:mRNA | gene=Tb927.7.4910 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_07_v5.1:1294952-129606",2,1,1,1,0,1,0,1,0,1,3.3,3.3,3.3,40.483000000000004,369,369;369,12.0,,,,1.0,0.0096685,0.50097,,By MS/MS,0.0,3.3,0,177320,191160,0.0,2266.1,1257.6,201910,38766,0,1,1,,,,56,522,True,549,1070,1122,1122,,,,,"hypothetical protein, conserved",1.4926911453925609,2.6459847613799767,2.458327712103935,-0.3001882805689968,-inf,-inf,0.030454586032925317,2.261553556050838,1.1773141609633926,1.5149235959184342
Tb927.7.5020,Tb927.7.5020:mRNA-p1;Tb927.7.5000:mRNA-p1;Tb11.v5.0182.1-p1;Tb11.v5.0181.1-p1,Tb927.7.5020:mRNA-p1;Tb927.7.5000:mRNA-p1;Tb11.v5.0182.1-p1;Tb11.v5.0181.1-p1,3;3;3;3,3;3;3;3,3;3;3;3,"Tb927.7.5020:mRNA-p1 | transcript=Tb927.7.5020:mRNA | gene=Tb927.7.5020 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=60S ribosomal protein L19, putative | transcript_product=60S ribosomal protein L19, putative | location=Tb927_07_v5.1:132559",4,3,3,3,0,3,0,3,0,3,12.3,12.3,12.3,29.408,260,260;260;260;260,11.4,,,3.0,2.0,0.0,4.4006,,By MS/MS,0.0,12.3,5293000,177320,5484160,661630.0,2266.1,662887.6,201910,1364566,0,3,3,,,,57,2899;3007;4233,True;True;True,3039;3152;4431,5524;5525;5748;5749;8117,5612;5613;5853;8468,5613;5853;8468,,,,,"60S ribosomal protein L19, putative",0.04773798335933719,0.007614561210105221,0.07776983373484649,0.6435118944234975,6.723701893991268,5.820615189015881,2.0872175827729514e-07,0.02098903525984921,-5.5742203336647975,3.9990944776040056
Tb927.7.5050,Tb927.7.5050:mRNA-p1;Tb11.v5.0185.1-p1,Tb927.7.5050:mRNA-p1;Tb11.v5.0185.1-p1,1;1,1;1,1;1,"Tb927.7.5050:mRNA-p1 | transcript=Tb927.7.5050:mRNA | gene=Tb927.7.5050 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_07_v5.1:1331171-133409",2,1,1,1,0,1,0,1,0,1,1.5,1.5,1.5,105.21,973,973;973,12.0,,,,1.0,0.0,1.7668,,By MS/MS,0.0,1.5,619750,177320,810910,16309.0,2266.1,17566.6,201910,258296,0,1,1,,,,58,118,True,125,278,292,292,,,,,"hypothetical protein, conserved",0.371685828805399,0.27219430259250094,0.4058270028938682,0.24718739058635353,5.792216535439859,4.212427332726591,3.070408266768158e-05,0.30535814466346695,-1.7114257689173076,3.8837108466019092
Tb927.10.6140,Tb927.10.6140:mRNA-p1;Tb11.v5.0206.1-p1,Tb927.10.6140:mRNA-p1;Tb11.v5.0206.1-p1,2;2,2;2,2;2,"Tb927.10.6140:mRNA-p1 | transcript=Tb927.10.6140:mRNA | gene=Tb927.10.6140 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=phosphatidylinositolN- acetylglucosaminyltransferase subunit c, putative | transcript_product=phosphatidylinositolN- acet",2,2,2,2,2,0,2,0,2,0,7.6,7.6,7.6,38.507,342,342;342,1.5,1.0,1.0,,,0.010401,0.6501899999999999,By MS/MS,,7.6,0.0,1886100,2063420,191160,157180.0,159446.1,1257.6,2001510,38766,2,0,2,,,,59,1524;2627,True;True,1587;2750,2866;4974,2883;5028,2883;5028,,,,,"phosphatidylinositolN- acetylglucosaminyltransferase subunit c, putative",38.248464365215746,127.38252412968318,26.921932001142213,-0.18695971428962513,6.27556471506985,5.196397284437343,0.031266886257227,97.6711708748607,6.609860886625871,1.5035285909108493
Tb927.5.295b,Tb927.5.295b:mRNA-p1;Tb11.v5.0214.1-p1,Tb927.5.295b:mRNA-p1;Tb11.v5.0214.1-p1,3;3,3;3,3;3,Tb927.5.295b:mRNA-p1 | transcript=Tb927.5.295b:mRNA | gene=Tb927.5.295b | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=retrotransposon hotspot (RHS) protein 1 | transcript_product=retrotransposon hotspot (RHS) protein 1 | location=Tb927_05_v5.,2,3,3,3,2,2,2,2,2,2,3.3,3.3,3.3,95.12700000000001,829,829;829,7.0,,2.0,,2.0,0.0,2.3172,By MS/MS,By MS/MS,2.2,2.3,2422400,1503820,1287160,45706.0,27294.1,21935.6,1528410,38766,2,2,4,,,,60,560;1209;1618,True;True;True,587;1263;1684,1135;1136;2292;3048,1181;1182;2319;3045,1182;2319;3045,,,,,retrotransposon hotspot (RHS) protein 1,2.8841677994612573,2.4601044164815535,18.528042081956364,0.3649635198270196,6.3842458578199786,4.659973215296316,0.00034601850544597714,2.601458877474788,1.3793209021129536,3.3506471219014324
Tb927.5.500,Tb927.5.500:mRNA-p1;Tb11.v5.0218.1-p1,Tb927.5.500:mRNA-p1;Tb11.v5.0218.1-p1,6;6,6;6,6;6,"Tb927.5.500:mRNA-p1 | transcript=Tb927.5.500:mRNA | gene=Tb927.5.500 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Tb927_05_v5.1:212919-217130(-) ",2,6,6,6,0,6,0,6,0,6,4.8,4.8,4.8,153.59,1403,1403;1403,11.0,,,6.0,,0.0,8.0037,,By MS/MS,0.0,4.8,7598300,177320,7789460,131010.0,2266.1,132267.6,201910,1579666,0,6,6,,,,61,1108;2021;2279;2552;4255;4360,True;True;True;True;True;True,1160;2110;2371;2663;4453;4564,2097;3869;4341;4850;8165;8365,2114;3885;4384;4902;8526;8742,2114;3885;4384;4902;8526;8742,,48,,803,"hypothetical protein, conserved",0.03532423150963691,0.03991000682862495,0.06590846060214199,0.9032908017549887,6.88071643659597,5.117304446641002,3.8308805711500654e-11,0.03838141505562894,-4.703448287618585,3.9999998336270024
Tb927.10.5240,Tb927.10.5240:mRNA-p1;Tb11.v5.0233.1-p1,Tb927.10.5240:mRNA-p1;Tb11.v5.0233.1-p1,1;1,1;1,1;1,"Tb927.10.5240:mRNA-p1 | transcript=Tb927.10.5240:mRNA | gene=Tb927.10.5240 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=cAMP binding protein, putative | transcript_product=cAMP binding protein, putative | location=Tb927_10_v5.1:1297252-13023",2,1,1,1,0,1,0,1,0,1,0.6,0.6,0.6,188.21,1702,1702;1702,11.0,,,1.0,,0.0034601999999999996,1.0863,,By MS/MS,0.0,0.6,280040,177320,471200,3544.8,2266.1,4802.4,201910,95555,0,1,1,,,,62,617,True,645,1219,1259,1259,,,,,"cAMP binding protein, putative",0.697994876272634,0.7947717336540946,1.2544881771432277,0.03594977953667411,5.447220068979909,3.5495917370235555,0.0018137311729888072,0.7625127811936078,-0.3911665747538611,2.7181190687991252
Tb927.10.5340,Tb927.10.5340:mRNA-p1;Tb927.10.5330:mRNA-p1;Tb11.v5.1060.1-p1;Tb11.v5.0243.1-p1,Tb927.10.5340:mRNA-p1;Tb927.10.5330:mRNA-p1;Tb11.v5.1060.1-p1;Tb11.v5.0243.1-p1,3;3;3;3,3;3;3;3,3;3;3;3,"Tb927.10.5340:mRNA-p1 | transcript=Tb927.10.5340:mRNA | gene=Tb927.10.5340 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=40S ribosomal protein S18, putative | transcript_product=40S ribosomal protein S18, putative | location=Tb927_10_v5.1:133",4,3,3,3,2,2,2,2,2,2,21.6,21.6,21.6,17.51,153,153;153;153;153,7.4,1.0,1.0,2.0,1.0,0.0,2.07,By MS/MS,By MS/MS,12.4,15.7,1489000,1270120,587410,165450.0,123686.1,45284.6,1276210,38766,2,3,5,,,,63,1873;2248;3317,True;True;True,1955;2339;3470,3545;3546;3547;4294;6362,3566;3567;3568;4338;6488,3567;4338;6488,,,,,"40S ribosomal protein S18, putative",9.18123177961076,8.34147772822137,14.327474284866517,0.3159703454569177,6.172894697752176,5.218666771495871,1.082034455385992e-05,8.621395745351167,3.1079214507402178,3.9553805038999243
Tb927.11.7290,Tb927.11.7290:mRNA-p1;Tb11.v5.0254.1-p1,Tb927.11.7290:mRNA-p1;Tb11.v5.0254.1-p1,4;4,4;4,4;4,"Tb927.11.7290:mRNA-p1 | transcript=Tb927.11.7290:mRNA | gene=Tb927.11.7290 | organism=Trypanosoma_brucei_brucei_TREU927 | gene_product=pantothenate kinase subunit, putative | transcript_product=pantothenate kinase subunit, putative | location=Tb927_11_v5.1",2,4,4,4,0,4,0,4,0,4,3.5,3.5,3.5,162.1,1467,1467;1467,11.0,,,4.0,,0.0,4.5557,,By MS/MS,0.0,3.5,2129800,177320,2320960,29581.0,2266.1,30838.6,201910,470666,0,4,4,,,,64,759;867;1399;3188,True;True;True;True,798;908;1460;3336,1489;1658;2657;6068,1527;1679;2682;6150,1527;1679;2682;6150,,,,,"pantothenate kinase subunit, putative",0.12103849757598069,0.17474097604977737,0.22242636246888256,0.6585551173749462,6.328338822699528,4.471012851443871,1.21534611742817e-06,0.15684014989184514,-2.6726331691385448,3.994753635432547
